 frequency    ntf_gmc_fd_db ntf_ref_se_db
 4.10452e+03  1.15576e+00  1.20612e+00 
 4.20036e+03  1.15119e+00  1.19189e+00 
 4.29844e+03  1.13746e+00  1.17031e+00 
 4.39881e+03  1.11663e+00  1.14314e+00 
 4.50152e+03  1.09042e+00  1.11186e+00 
 4.60663e+03  1.06022e+00  1.07766e+00 
 4.71420e+03  1.02720e+00  1.04150e+00 
 4.82428e+03  9.92286e-01  1.00415e+00 
 4.93693e+03  9.56225e-01  9.66220e-01 
 5.05220e+03  9.19612e-01  9.28202e-01 
 5.17017e+03  8.82914e-01  8.90463e-01 
 5.29090e+03  8.46495e-01  8.53291e-01 
 5.41444e+03  8.10633e-01  8.16901e-01 
 5.54087e+03  7.75540e-01  7.81453e-01 
 5.67025e+03  7.41369e-01  7.47059e-01 
 5.80266e+03  7.08233e-01  7.13797e-01 
 5.93815e+03  6.76206e-01  6.81717e-01 
 6.07681e+03  6.45336e-01  6.50844e-01 
 6.21870e+03  6.15648e-01  6.21186e-01 
 6.36391e+03  5.87151e-01  5.92739e-01 
 6.51251e+03  5.59838e-01  5.65488e-01 
 6.66458e+03  5.33695e-01  5.39408e-01 
 6.82020e+03  5.08697e-01  5.14471e-01 
 6.97945e+03  4.84815e-01  4.90643e-01 
 7.14242e+03  4.62016e-01  4.67889e-01 
 7.30920e+03  4.40265e-01  4.46169e-01 
 7.47987e+03  4.19522e-01  4.25446e-01 
 7.65453e+03  3.99750e-01  4.05679e-01 
 7.83326e+03  3.80908e-01  3.86829e-01 
 8.01617e+03  3.62958e-01  3.68857e-01 
 8.20335e+03  3.45860e-01  3.51724e-01 
 8.39490e+03  3.29577e-01  3.35394e-01 
 8.59093e+03  3.14071e-01  3.19830e-01 
 8.79153e+03  2.99307e-01  3.04997e-01 
 8.99681e+03  2.85250e-01  2.90861e-01 
 9.20689e+03  2.71865e-01  2.77389e-01 
 9.42187e+03  2.59122e-01  2.64551e-01 
 9.64188e+03  2.46989e-01  2.52317e-01 
 9.86702e+03  2.35437e-01  2.40657e-01 
 1.00974e+04  2.24437e-01  2.29545e-01 
 1.03332e+04  2.13963e-01  2.18954e-01 
 1.05745e+04  2.03989e-01  2.08860e-01 
 1.08214e+04  1.94490e-01  1.99239e-01 
 1.10741e+04  1.85444e-01  1.90068e-01 
 1.13327e+04  1.76828e-01  1.81326e-01 
 1.15973e+04  1.68621e-01  1.72992e-01 
 1.18681e+04  1.60803e-01  1.65047e-01 
 1.21452e+04  1.53355e-01  1.57472e-01 
 1.24288e+04  1.46259e-01  1.50250e-01 
 1.27190e+04  1.39498e-01  1.43364e-01 
 1.30160e+04  1.33056e-01  1.36798e-01 
 1.33199e+04  1.26917e-01  1.30536e-01 
 1.36310e+04  1.21067e-01  1.24564e-01 
 1.39492e+04  1.15491e-01  1.18869e-01 
 1.42750e+04  1.10176e-01  1.13438e-01 
 1.46083e+04  1.05110e-01  1.08257e-01 
 1.49494e+04  1.00281e-01  1.03316e-01 
 1.52985e+04  9.56771e-02  9.86023e-02 
 1.56557e+04  9.12877e-02  9.41061e-02 
 1.60212e+04  8.71027e-02  8.98169e-02 
 1.63953e+04  8.31122e-02  8.57249e-02 
 1.67782e+04  7.93070e-02  8.18211e-02 
 1.71700e+04  7.56783e-02  7.80966e-02 
 1.75709e+04  7.22177e-02  7.45431e-02 
 1.79812e+04  6.89173e-02  7.11525e-02 
 1.84010e+04  6.57694e-02  6.79172e-02 
 1.88307e+04  6.27670e-02  6.48302e-02 
 1.92704e+04  5.99030e-02  6.18845e-02 
 1.97204e+04  5.71711e-02  5.90735e-02 
 2.01808e+04  5.45650e-02  5.63909e-02 
 2.06521e+04  5.20788e-02  5.38310e-02 
 2.11343e+04  4.97069e-02  5.13879e-02 
 2.16278e+04  4.74440e-02  4.90564e-02 
 2.21328e+04  4.52849e-02  4.68312e-02 
 2.26496e+04  4.32249e-02  4.47074e-02 
 2.31785e+04  4.12593e-02  4.26804e-02 
 2.37197e+04  3.93838e-02  4.07458e-02 
 2.42736e+04  3.75941e-02  3.88992e-02 
